,phone
1363,+12 2746 0
1364,+13 5051 0
1365,+13 4043 0
1366,+15 2509 0
1367,+15 5125 0
1368,+10 4640 0
1369,+12 4906 0
1370,+13 3059 0
1371,+13 3299 0
1372,+10 3008 0
1373,+12 4282 0
1374,+12 4210 0
1375,+14 2604 0
1376,+12 4330 0
1377,+14 4572 0
1378,+11 3321 0
1379,+13 2267 0
1380,+12 3250 0
1381,+13 3995 0
1382,+13 4403 0
1383,+10 4136 0
1384,+15 3421 0
1385,+10 2336 0
1386,+10 3488 0
1387,+14 5172 0
1388,+11 4713 0
1389,+15 4117 0
1390,+12 2410 0
1391,+14 4260 0
1392,+11 4641 0
1393,+10 2408 0
1394,+13 3563 0
1395,+14 4380 0
1396,+11 3033 0
1397,+11 2625 0
1398,+13 2219 0
1399,+13 4307 0
1400,+13 2339 0
1401,+14 2388 0
1402,+13 3635 0
1403,+12 5242 0
1404,+10 3680 0
1405,+10 4448 0
1406,+14 3132 0
1407,+12 5266 0
1408,+14 3612 0
1409,+14 4332 0
1410,+13 2987 0
1411,+10 4832 0
1412,+11 3225 0
1413,+15 5197 0
1414,+12 2818 0
1415,+12 4450 0
1416,+14 3156 0
1417,+13 2531 0
1418,+12 2650 0
1419,+12 4066 0
1420,+12 5098 0
1421,+10 3032 0
1422,+11 4233 0
1423,+10 4592 0
1424,+14 5052 0
1425,+15 3181 0
1426,+15 2725 0
1427,+15 4453 0
1428,+11 4881 0
1429,+11 3825 0
1430,+10 4904 0
1431,+10 3632 0
1432,+11 3801 0
1433,+12 2386 0
1434,+12 5170 0
1435,+10 3464 0
1436,+15 2461 0
1437,+14 3420 0
1438,+11 2577 0
1439,+14 4740 0
1440,+13 2867 0
1441,+13 2483 0
1442,+11 3993 0
1443,+12 4234 0
1444,+15 4381 0
1445,+10 3128 0
1446,+15 2365 0
1447,+13 4067 0
1448,+14 2676 0
1449,+13 3131 0
1450,+13 4883 0
1451,+10 2816 0
1452,+11 2769 0
1453,+14 4476 0
1454,+12 2698 0
1455,+10 4664 0
1456,+11 2337 0
1457,+12 4810 0
1458,+10 5072 0
1459,+10 4928 0
1460,+11 4593 0
1461,+13 2603 0
1462,+15 3733 0
1463,+13 2675 0
1464,+13 4163 0
1465,+15 5221 0
1466,+12 4930 0
1467,+15 2845 0
1468,+15 4765 0
1469,+12 3658 0
1470,+13 4907 0
1471,+13 4547 0
1472,+11 3585 0
1473,+12 4666 0
1474,+11 4857 0
1475,+15 4093 0
1476,+10 4376 0
1477,+12 4354 0
1478,+14 4284 0
1479,+15 4501 0
1480,+10 3776 0
1481,+10 3992 0
1482,+10 3176 0
1483,+11 3705 0
1484,+15 4477 0
1485,+13 4715 0
1486,+12 4954 0
1487,+15 4957 0
1488,+14 4956 0
1489,+13 2459 0
1490,+10 4616 0
1491,+12 4762 0
1492,+15 3517 0
1493,+10 2432 0
1494,+11 2793 0
1495,+13 2819 0
1496,+15 3493 0
1497,+11 4305 0
1498,+14 3948 0
1499,+12 4114 0
1500,+10 3224 0
1501,+11 3633 0
1502,+13 4691 0
1503,+11 5241 0
1504,+13 3395 0
1505,+11 2697 0
1506,+15 3613 0
1507,+13 3683 0
1508,+13 4091 0
1509,+12 3682 0
1510,+14 4548 0
1511,+15 4909 0
1512,+10 2240 0
1513,+13 3179 0
1514,+10 2792 0
1515,+11 3729 0
1516,+12 3274 0
1517,+11 5025 0
1518,+14 3084 0
1519,+10 3368 0
1520,+15 4693 0
1521,+10 2696 0
1522,+15 3229 0
1523,+10 3440 0
1524,+15 3685 0
1525,+10 4040 0
1526,+13 3827 0
1527,+12 3706 0
1528,+12 3298 0
1529,+12 3754 0
1530,+12 4186 0
1531,+15 3781 0
1532,+11 3345 0
1533,+12 3562 0
1534,+12 3802 0
1535,+10 5120 0
1536,+10 3728 0
1537,+10 4880 0
1538,+14 3252 0
1539,+14 4716 0
1540,+12 2338 0
1541,+13 4667 0
1542,+13 4763 0
1543,+14 5268 0
1544,+10 2456 0
1545,+11 5049 0
1546,+12 3370 0
1547,+14 2508 0
1548,+15 4069 0
1549,+14 4860 0
1550,+12 3634 0
1551,+12 2074 0
1552,+14 2004 0
1553,+13 2195 0
1554,+12 2170 0
1555,+12 2194 0
1556,+14 2172 0
1557,+11 2193 0
1558,+14 2028 0
1559,+14 2100 0
1560,+11 2025 0
1561,+11 2145 0
1562,+10 2168 0
1563,+12 2146 0
1564,+10 2144 0
1565,+12 2026 0
1566,+10 2048 0
1567,+10 2000 0
1568,+13 2123 0
1569,+13 2099 0
1570,+15 2029 0
1571,+15 2125 0
1572,+12 2050 0
1573,+13 2171 0
1574,+15 2077 0
1575,+15 2053 0
1576,+14 2196 0
1577,+11 2049 0
1578,+10 2072 0
1579,+13 2075 0
1580,+10 2192 0
1581,+15 2197 0
1582,+12 2098 0
1583,+14 2076 0
1584,+11 2121 0
1585,+15 2173 0
1586,+15 2101 0
1587,+10 2120 0
1588,+14 2052 0
1589,+11 2169 0
1590,+13 2147 0
1591,+10 2096 0
1592,+10 2024 0
1593,+12 2122 0
1594,+11 2073 0
1595,+13 2027 0
1596,+14 2124 0
1597,+13 2051 0
1598,+14 2148 0
1599,+12 2002 0
1600,+11 2001 0
1601,+15 2005 0
1602,+13 2003 0
1603,+11 2097 0
1604,+15 2149 0
1605,+10 2654 0
1606,+10 2174 0
1607,+11 2487 0
1608,+11 3159 0
1609,+11 2247 0
1610,+10 3830 0
1611,+12 4744 0
1612,+10 2342 0
1613,+14 3306 0
1614,+12 3256 0
1615,+14 4722 0
1616,+13 3785 0
1617,+12 3544 0
1618,+11 2751 0
1619,+14 4362 0
1620,+13 3497 0
1621,+14 3498 0
1622,+10 4166 0
1623,+10 5006 0
1624,+15 4195 0
1625,+10 3398 0
1626,+10 2414 0
1627,+10 3182 0
1628,+11 4839 0
1629,+13 3473 0
1630,+10 3086 0
1631,+10 4406 0
1632,+10 4478 0
1633,+10 5030 0
1634,+12 3448 0
1635,+10 3974 0
1636,+10 4742 0
1637,+12 5056 0
1638,+14 2466 0
1639,+11 3807 0
1640,+15 3043 0
1641,+15 5155 0
1642,+12 3208 0
1643,+11 2943 0
1644,+12 4144 0
1645,+10 3206 0
1646,+11 2463 0
1647,+13 4073 0
1648,+10 4046 0
1649,+15 4459 0
1650,+12 3736 0
1651,+14 3282 0
1652,+10 2702 0
1653,+10 4838 0
1654,+14 4050 0
1655,+12 2488 0
1656,+10 3878 0
1657,+14 2946 0
1658,+12 3088 0
1659,+13 2897 0
1660,+13 3713 0
1661,+13 5153 0
1662,+15 3067 0
1663,+15 4315 0
1664,+12 2104 0
1665,+11 3207 0
1666,+14 2730 0
1667,+10 4382 0
1668,+14 5058 0
1669,+14 2802 0
1670,+10 3518 0
1671,+13 4337 0
1672,+13 4625 0
1673,+15 2131 0
1674,+10 4598 0
1675,+12 3328 0
1676,+15 3691 0
1677,+12 4720 0
1678,+12 3424 0
1679,+10 2366 0
1680,+12 4528 0
1681,+15 2947 0
1682,+10 2126 0
1683,+11 4167 0
1684,+12 2968 0
1685,+11 5079 0
1686,+10 2318 0
1687,+13 3113 0
1688,+12 5128 0
1689,+12 3136 0
1690,+13 4961 0
1691,+10 3614 0
1692,+10 5102 0
1693,+15 4771 0
1694,+14 3930 0
1695,+14 2226 0
1696,+11 2415 0
1697,+10 3254 0
1698,+12 2152 0
1699,+14 5010 0
1700,+11 4431 0
1701,+14 3402 0
1702,+13 4433 0
1703,+10 4334 0
1704,+11 4815 0
1705,+15 4987 0
1706,+12 3520 0
1707,+15 4747 0
1708,+14 4842 0
1709,+13 4241 0
1710,+14 4794 0
1711,+11 3831 0
1712,+15 2755 0
1713,+10 3158 0
1714,+14 4986 0
1715,+12 5080 0
1716,+12 3688 0
1717,+11 5103 0
1718,+14 3810 0
1719,+13 4889 0
1720,+15 2155 0
1721,+12 2392 0
1722,+14 3954 0
1723,+10 4238 0
1724,+12 3592 0
1725,+14 3690 0
1726,+13 2729 0
1727,+12 3856 0
1728,+14 3066 0
1729,+10 3998 0
1730,+15 4435 0
1731,+11 2967 0
1732,+11 4911 0
1733,+10 4718 0
1734,+11 4263 0
1735,+13 3257 0
1736,+11 3999 0
1737,+14 2442 0
1738,+13 3761 0
1739,+14 4674 0
1740,+13 2585 0
1741,+11 3519 0
1742,+14 3738 0
1743,+12 4984 0
1744,+13 5033 0
1745,+15 2203 0
1746,+15 2347 0
1747,+15 2611 0
1748,+13 2993 0
1749,+10 3326 0
1750,+14 3570 0
1751,+12 4288 0
1752,+11 4383 0
1753,+10 4958 0
1754,+11 3351 0
1755,+14 3666 0
1756,+12 2368 0
1757,+13 2945 0
1758,+15 4267 0
1759,+13 3305 0
1760,+10 4982 0
1761,+14 2154 0
1762,+10 2678 0
1763,+10 3014 0
1764,+10 5054 0
1765,+15 2659 0
1766,+13 4169 0
1767,+15 2635 0
1768,+14 4002 0
1769,+10 2558 0
1770,+14 2922 0
1771,+11 4887 0
1772,+13 3569 0
1773,+13 2177 0
1774,+11 3015 0
1775,+12 4360 0
1776,+12 2200 0
1777,+12 3712 0
1778,+15 2251 0
1779,+10 3734 0
1780,+12 2776 0
1781,+12 3184 0
1782,+11 2679 0
1783,+15 4003 0
1784,+11 5127 0
1785,+13 3881 0
1786,+13 4313 0
1787,+13 2465 0
1788,+15 4171 0
1789,+11 2391 0
1790,+12 4816 0
1791,+11 3087 0
1792,+12 3784 0
1793,+12 2560 0
1794,+14 3858 0
1795,+11 3567 0
1796,+13 4409 0
1797,+10 2438 0
1798,+13 3737 0
1799,+12 4504 0
1800,+12 3040 0
1801,+10 4886 0
1802,+14 2130 0
1803,+13 5105 0
1804,+12 2080 0
1805,+15 3115 0
1806,+12 2848 0
1807,+13 2801 0
1808,+13 3953 0
1809,+15 2227 0
1810,+10 3686 0
1811,+14 4626 0
1812,+11 4791 0
1813,+14 2490 0
1814,+14 4938 0
1815,+15 2971 0
1816,+10 4766 0
1817,+10 3494 0
1818,+11 4359 0
1819,+11 4407 0
1820,+15 4939 0
1821,+11 5151 0
1822,+14 4026 0
1823,+14 2778 0
1824,+11 3279 0
1825,+10 2870 0
1826,+15 2539 0
1827,+13 2513 0
1828,+11 3183 0
1829,+13 3425 0
1830,+14 2082 0
1831,+15 2179 0
1832,+14 2970 0
1833,+14 4698 0
1834,+15 3139 0
1835,+10 3374 0
1836,+12 3472 0
1837,+15 4051 0
1838,+12 4168 0
1839,+15 3379 0
1840,+10 2846 0
1841,+10 2990 0
1842,+11 4455 0
1843,+12 2680 0
1844,+13 2657 0
1845,+11 2871 0
1846,+10 4190 0
1847,+15 4795 0
1848,+15 4387 0
1849,+13 3929 0
1850,+12 2272 0
1851,+11 2655 0
1852,+12 2704 0
1853,+13 2537 0
1854,+13 4985 0
1855,+13 2273 0
1856,+10 2630 0
1857,+14 2826 0
1858,+13 4745 0
1859,+11 4527 0
1860,+12 4408 0
1861,+11 2319 0
1862,+10 4694 0
1863,+11 3063 0
1864,+11 2511 0
1865,+13 4217 0
1866,+12 2536 0
1867,+15 2083 0
1868,+13 2321 0
1869,+15 3259 0
1870,+11 2823 0
1871,+12 3808 0
1872,+10 3806 0
1873,+10 3110 0
1874,+12 4864 0
1875,+12 2872 0
1876,+11 3975 0
1877,+10 5078 0
1878,+14 5106 0
1879,+13 2249 0
1880,+10 3230 0
1881,+13 3593 0
1882,+15 4291 0
1883,+13 4481 0
1884,+13 4601 0
1885,+14 3018 0
1886,+14 2418 0
1887,+12 4264 0
1888,+13 4817 0
1889,+13 2201 0
1890,+11 4959 0
1891,+13 2105 0
1892,+10 3758 0
1893,+11 2271 0
1894,+15 4099 0
1895,+11 3135 0
1896,+10 4142 0
1897,+11 2847 0
1898,+14 4458 0
1899,+13 3329 0
1900,+12 4480 0
1901,+13 4457 0
1902,+13 3161 0
1903,+11 4575 0
1904,+15 5035 0
1905,+11 4335 0
1906,+10 5150 0
1907,+11 5055 0
1908,+10 3278 0
1909,+13 3065 0
1910,+12 2800 0
1911,+11 4647 0
1912,+12 2656 0
1913,+11 4479 0
1914,+10 2486 0
1915,+12 2752 0
1916,+15 3907 0
1917,+13 3041 0
1918,+15 2419 0
1919,+15 2275 0
1920,+12 3304 0
1921,+12 3976 0
1922,+13 2921 0
1923,+15 3355 0
1924,+11 2703 0
1925,+14 4410 0
1926,+14 2250 0
1927,+13 2825 0
1928,+10 4454 0
1929,+10 2150 0
1930,+14 5130 0
1931,+13 3209 0
1932,+15 4123 0
1933,+10 4430 0
1934,+10 3062 0
1935,+15 2995 0
1936,+13 4865 0
1937,+13 2297 0
1938,+14 3978 0
1939,+12 3232 0
1940,+12 3496 0
1941,+11 4671 0
1942,+15 4843 0
1943,+14 4194 0
1944,+11 3783 0
1945,+15 4603 0
1946,+10 3710 0
1947,+12 2464 0
1948,+12 4912 0
1949,+15 3283 0
1950,+11 3927 0
1951,+15 3331 0
1952,+15 4027 0
1953,+12 3640 0
1954,+10 2198 0
1955,+14 5034 0
1956,+14 3450 0
1957,+14 2178 0
1958,+14 3642 0
1959,+11 2439 0
1960,+11 3879 0
1961,+13 5129 0
1962,+12 3280 0
1963,+10 4550 0
1964,+14 2346 0
1965,+14 4746 0
1966,+14 4266 0
1967,+13 4505 0
1968,+13 2609 0
1969,+11 4551 0
1970,+12 3160 0
1971,+11 4743 0
1972,+14 3114 0
1973,+14 3474 0
1974,+14 4770 0
1975,+12 3064 0
1976,+14 3882 0
1977,+12 5008 0
1978,+14 3594 0
1979,+12 2608 0
1980,+11 4503 0
1981,+11 4767 0
1982,+11 4191 0
1983,+15 4963 0
1984,+10 5126 0
1985,+12 4696 0
1986,+15 3811 0
1987,+13 3137 0
1988,+11 2583 0
1989,+11 3327 0
1990,+10 3782 0
1991,+12 3568 0
1992,+12 3760 0
1993,+15 3091 0
1994,+12 3352 0
1995,+11 2559 0
1996,+10 4934 0
1997,+15 4219 0
1998,+13 4649 0
1999,+13 3089 0
2000,+11 4599 0
2001,+12 2224 0
2002,+10 3950 0
2003,+15 5107 0
2004,+13 2849 0
2005,+14 4218 0
2006,+11 2127 0
2007,+10 2246 0
2008,+10 2726 0
2009,+12 2944 0
2010,+15 2371 0
2011,+14 4314 0
2012,+14 4866 0
2013,+14 4338 0
2014,+15 2587 0
2015,+11 3303 0
2016,+15 4627 0
2017,+14 2994 0
2018,+11 3687 0
2019,+14 3330 0
2020,+12 3952 0
2021,+15 4579 0
2022,+14 3522 0
2023,+11 2919 0
2024,+13 4385 0
2025,+11 4863 0
2026,+10 4286 0
2027,+14 2562 0
2028,+14 5154 0
2029,+13 3233 0
2030,+14 3042 0
2031,+13 3281 0
2032,+13 2777 0
2033,+13 2969 0
2034,+11 2895 0
2035,+15 3643 0
2036,+15 4867 0
2037,+10 2822 0
2038,+13 4529 0
2039,+13 4697 0
2040,+15 3427 0
2041,+13 3665 0
2042,+14 4602 0
2043,+11 4215 0
2044,+12 4672 0
2045,+13 4577 0
2046,+15 4147 0
2047,+10 3038 0
2048,+13 3809 0
2049,+10 4646 0
2050,+12 2728 0
2051,+10 2582 0
2052,+12 2416 0
2053,+15 2395 0
2054,+10 2462 0
2055,+10 2270 0
2056,+15 3883 0
2057,+14 4098 0
2058,+15 2779 0
2059,+11 4719 0
2060,+13 4289 0
2061,+14 4914 0
2062,+10 3590 0
2063,+11 3591 0
2064,+12 3904 0
2065,+13 2441 0
2066,+13 4025 0
2067,+11 2367 0
2068,+11 4095 0
2069,+11 2343 0
2070,+11 2103 0
2071,+14 2634 0
2072,+14 3354 0
2073,+12 4000 0
2074,+12 4936 0
2075,+12 5104 0
2076,+13 3641 0
2077,+13 2345 0
2078,+10 4574 0
2079,+12 2176 0
2080,+13 2153 0
2081,+14 4578 0
2082,+11 3615 0
2083,+11 4119 0
2084,+13 4937 0
2085,+10 3566 0
2086,+13 5009 0
2087,+14 4962 0
2088,+11 2607 0
2089,+14 4530 0
2090,+12 2128 0
2091,+12 4336 0
2092,+10 3542 0
2093,+13 2705 0
2094,+15 4075 0
2095,+11 3495 0
2096,+15 3739 0
2097,+12 4384 0
2098,+10 2102 0
2099,+15 3619 0
2100,+12 2344 0
2101,+15 5011 0
2102,+15 2467 0
2103,+12 4120 0
2104,+11 2199 0
2105,+13 3833 0
2106,+15 3403 0
2107,+15 3595 0
2108,+10 3302 0
2109,+15 3979 0
2110,+14 3714 0
2111,+14 4434 0
2112,+10 3446 0
2113,+10 2534 0
2114,+14 3090 0
2115,+12 3400 0
2116,+13 4121 0
2117,+13 4769 0
2118,+12 4624 0
2119,+10 4862 0
2120,+15 3211 0
2121,+15 3187 0
2122,+13 3353 0
2123,+11 3759 0
2124,+13 4361 0
2125,+13 2081 0
2126,+10 2750 0
2127,+12 4792 0
2128,+12 4216 0
2129,+15 2707 0
2130,+10 2918 0
2131,+15 4243 0
2132,+13 4553 0
2133,+11 3735 0
2134,+15 2323 0
2135,+14 2394 0
2136,+12 3880 0
2137,+11 3039 0
2138,+13 4793 0
2139,+10 4118 0
2140,+15 4531 0
2141,+15 2827 0
2142,+11 2631 0
2143,+13 2681 0
2144,+12 2992 0
2145,+11 5007 0
2146,+10 2606 0
2147,+14 3234 0
2148,+12 4192 0
2149,+12 2296 0
2150,+10 2294 0
2151,+12 2440 0
2152,+12 4072 0
2153,+15 4411 0
2154,+15 3019 0
2155,+11 3471 0
2156,+15 3571 0
2157,+12 3376 0
2158,+10 2894 0
2159,+15 3499 0
2160,+11 4239 0
2161,+14 3162 0
2162,+15 2443 0
2163,+14 5082 0
2164,+15 4915 0
2165,+11 2175 0
2166,+14 2514 0
2167,+13 4265 0
2168,+10 3662 0
2169,+10 3470 0
2170,+14 3786 0
2171,+11 2727 0
2172,+13 2393 0
2173,+10 2798 0
2174,+10 4502 0
2175,+13 2753 0
2176,+12 4456 0
2177,+15 4363 0
2178,+10 4022 0
2179,+15 3859 0
2180,+13 4001 0
2181,+15 4555 0
2182,+14 2538 0
2183,+15 2731 0
2184,+11 3231 0
2185,+10 4262 0
2186,+10 2774 0
2187,+14 3426 0
2188,+11 4143 0
2189,+10 2222 0
2190,+10 3350 0
2191,+12 4096 0
2192,+13 5081 0
2193,+15 3667 0
2194,+11 3375 0
2195,+11 4623 0
2196,+10 4214 0
2197,+12 5152 0
2198,+15 5083 0
2199,+13 3401 0
2200,+15 3547 0
2201,+13 4193 0
2202,+10 3926 0
2203,+11 2079 0
2204,+10 3134 0
2205,+12 2632 0
2206,+12 4432 0
2207,+10 3422 0
2208,+15 4699 0
2209,+11 2799 0
2210,+12 3664 0
2211,+11 2991 0
2212,+14 3186 0
2213,+14 4482 0
2214,+15 2875 0
2215,+10 4790 0
2216,+14 4650 0
2217,+12 2584 0
2218,+15 4675 0
2219,+12 2920 0
2220,+11 3639 0
2221,+14 3834 0
2222,+13 3017 0
2223,+15 2899 0
2224,+12 3616 0
2225,+14 3762 0
2226,+15 3163 0
2227,+15 3307 0
2228,+13 3689 0
2229,+10 4526 0
2230,+15 4819 0
2231,+13 3185 0
2232,+14 2610 0
2233,+11 3543 0
2234,+10 3854 0
2235,+10 4094 0
2236,+14 2706 0
2237,+15 3931 0
2238,+10 2942 0
2239,+12 3112 0
2240,+11 4935 0
2241,+13 3977 0
2242,+12 4024 0
2243,+15 2683 0
2244,+14 3378 0
2245,+15 4723 0
2246,+13 4673 0
2247,+13 3377 0
2248,+14 2202 0
2249,+15 2515 0
2250,+14 3210 0
2251,+15 3235 0
2252,+12 4576 0
2253,+15 2923 0
2254,+14 4122 0
2255,+15 4891 0
2256,+15 2803 0
2257,+10 3638 0
2258,+15 3763 0
2259,+12 3928 0
2260,+11 3711 0
2261,+14 4074 0
2262,+11 3903 0
2263,+15 3475 0
2264,+14 4290 0
2265,+10 2510 0
2266,+12 2248 0
2267,+12 4240 0
2268,+14 2658 0
2269,+15 3523 0
2270,+14 2874 0
2271,+14 3618 0
2272,+14 2850 0
2273,+15 5059 0
2274,+12 2896 0
2275,+11 4023 0
2276,+13 4097 0
2277,+12 2824 0
2278,+14 3258 0
2279,+10 2078 0
2280,+11 3111 0
2281,+12 3832 0
2282,+15 3955 0
2283,+11 2223 0
2284,+15 3835 0
2285,+11 3423 0
2286,+11 4311 0
2287,+10 4910 0
2288,+14 4890 0
2289,+11 5031 0
2290,+15 3451 0
2291,+12 4840 0
2292,+14 2754 0
2293,+14 3906 0
2294,+10 4622 0
2295,+11 4695 0
2296,+13 4145 0
2297,+11 4071 0
2298,+12 3016 0
2299,+12 4648 0
2300,+13 2561 0
2301,+15 4483 0
2302,+11 2295 0
2303,+14 4554 0
2304,+14 2298 0
2305,+11 3663 0
2306,+14 4146 0
2307,+14 4170 0
2308,+10 3902 0
2309,+12 2512 0
2310,+11 4983 0
2311,+13 2129 0
2312,+11 2535 0
2313,+11 4047 0
2314,+14 2106 0
2315,+10 4358 0
2316,+15 3787 0
2317,+10 4814 0
2318,+15 2299 0
2319,+11 2775 0
2320,+15 2491 0
2321,+15 2851 0
2322,+10 2966 0
2323,+13 3617 0
2324,+13 3545 0
2325,+13 4721 0
2326,+12 2320 0
2327,+14 4242 0
2328,+10 2390 0
2329,+13 2873 0
2330,+15 4507 0
2331,+11 3399 0
2332,+14 2586 0
2333,+10 4670 0
2334,+10 4070 0
2335,+12 4312 0
2336,+14 2274 0
2337,+13 5057 0
2338,+13 2633 0
2339,+13 3857 0
2340,+12 4768 0
2341,+14 4506 0
2342,+12 4888 0
2343,+12 5032 0
2344,+11 3447 0
2345,+13 2369 0
2346,+14 3546 0
2347,+13 3905 0
2348,+12 4600 0
2349,+15 2107 0
2350,+12 4048 0
2351,+11 3951 0
2352,+13 4049 0
2353,+14 2322 0
2354,+11 3255 0
2355,+15 4339 0
2356,+14 2682 0
2357,+14 3138 0
2358,+13 3521 0
2359,+13 4841 0
2360,+11 3855 0
2361,+13 2489 0
2362,+11 4287 0
2363,+13 2225 0
2364,+15 5131 0
2365,+13 2417 0
2366,+11 2151 0
2367,+12 4960 0
2368,+14 4386 0
2369,+13 3449 0
2370,+13 4913 0
2371,+14 2370 0
2372,+12 4552 0
2373,+15 4651 0
2374,+14 4818 0
2375,+15 3715 0
2376,+15 2563 0
2377,+10 4310 0
2378,+14 2898 0
